"","la","urn","school","school_description","adm_policy","num_pupils","perc_boys","perc_girls","perc_fsm","perc_sec_lang","perc_sen","att8","att8_eng","att8_maths","att8_fsm","att8_nonfsm","school_type","gender","att8_17"
"1997",852,135629,"Oasis Academy Mayfield","AC","NSE",147,57,43,34,8,10,38.9,8.5,7.3,34.6,41.1,"State School","Mixed",34.9
"1998",852,144205,"Great Oaks School","ACCS",NA,38,76,24,68,13,NA,0.2,0,0.2,0.3,0,"Special School","Mixed",NA
"1999",852,116624,"The Polygon School","FDS",NA,15,100,NA,87,13,NA,0.6,0,0,NA,NA,"Special School","Boys",5.3
"2000",855,137799,"Humphrey Perkins School","ACC","NSE",165,50,50,13,2,9,43.9,9.6,8.8,23.6,46.9,"State School","Mixed",42.6
"2001",855,138821,"King Edward VII Science and Sport College","ACC","NSE",298,50,50,21,2,14,38.8,8.2,7.7,28.6,41.5,"State School","Mixed",39.3
"2002",855,137161,"The Robert Smyth Academy","ACC","NSE",129,44,56,11,3,5,51,10.4,10.3,41.5,52.1,"State School","Mixed",46.2
"2003",855,137317,"Stephenson Studio School","SS","NSE",35,40,60,51,3,37,19.4,4.6,4.5,12.5,26.8,"Special School","Mixed",23.2
"2004",855,141012,"Sir Frank Whittle Studio School","SS","NR",32,72,28,19,0,31,23.7,5.4,5.6,17.4,25.2,"Special School","Mixed",32
"2005",855,138327,"Heath Lane Academy","ACC","NSE",113,54,46,25,3,19,41.8,9,8.1,31.2,45.3,"State School","Mixed",33.5
"2006",855,141682,"Hinckley Academy and John Cleveland Sixth Form Centre","ACC","NR",184,54,46,17,3,7,40.1,8.5,8.3,29.8,42.2,"State School","Mixed",40.5
"2007",855,137367,"Limehurst Academy","ACC","NSE",117,49,51,30,62,15,52.8,11.7,9.8,44.7,56.3,"State School","Mixed",51.1
"2008",855,137115,"Lutterworth High School","ACC","NSE",188,55,45,9,1,2,54.2,11.7,10.6,49.7,54.6,"State School","Mixed",51.6
"2009",855,138108,"The Market Bosworth School","ACC","NSE",152,45,55,9,1,11,56.4,12.1,11.2,49.5,57.1,"State School","Mixed",58.6
"2010",855,137170,"Welland Park Academy","ACC","NSE",170,47,54,8,4,9,52,11.2,10.2,35.6,53.3,"State School","Mixed",49.3
"2011",855,139442,"South Charnwood High School","ACC",NA,149,57,43,17,3,9,51.7,11.7,9.8,40.4,53.9,"State School","Mixed",51.4
"2012",855,141874,"Charnwood College","AC","NSE",90,42,58,36,9,21,41.6,8.8,8.2,36.1,44.6,"State School","Mixed",43
"2013",855,138079,"The Roundhill Academy","ACC","NSE",161,56,44,21,5,16,46,10.3,8.7,34.1,49.1,"State School","Mixed",44.6
"2014",855,143844,"The Winstanley School","ACC","NR",107,48,52,36,15,11,33.5,6.9,6.8,27.7,36.7,"State School","Mixed",37.7
"2015",855,140103,"Hastings High School","ACC","NSE",167,46,54,11,2,9,55.3,11.6,11.1,42.3,57,"State School","Mixed",50.8
"2016",855,140787,"The Cedars Academy","ACC","NSE",162,46,54,22,6,14,44,9.4,8.9,35.1,46.6,"State School","Mixed",43
"2017",855,138820,"Castle Donington College","ACC",NA,78,64,36,14,6,8,46,10,9.5,33.5,48,"State School","Mixed",NA
"2018",855,137828,"The Martin High School Anstey","ACC","NSE",144,50,50,25,1,3,46.5,10.1,9.2,37.6,49.4,"State School","Mixed",45.3
"2019",855,138819,"The Priory Belvoir Academy","ACC","NSE",96,53,47,12,1,13,47.9,10.1,8.9,33.9,49.7,"State School","Mixed",47.5
"2020",855,138155,"Gartree High School","ACC",NA,55,36,64,11,20,0,53.9,11.1,10.7,43.8,55.2,"State School","Mixed",NA
"2021",855,137120,"Manor High School","ACC",NA,93,59,41,25,15,10,55.3,11.3,11.5,49.2,57.4,"State School","Mixed",NA
"2022",855,137617,"John Ferneley College","ACC","NSE",223,44,56,16,3,12,49.7,11,9.5,37.2,52,"State School","Mixed",51.5
"2023",855,139624,"Beauchamp College","ACC","NSE",440,47,53,10,7,1,54.4,11.1,10.7,41.6,55.9,"State School","Mixed",54.2
"2024",855,137969,"Bosworth Academy","ACC","NSE",174,53,47,21,6,21,47.2,10.2,9,39.4,49.2,"State School","Mixed",50.5
"2025",855,137983,"Wreake Valley Academy","ACC","NSE",121,50,50,23,4,21,40.9,8.9,9.3,33.3,43.1,"State School","Mixed",48
"2026",855,138627,"Groby Community College","ACC","NSE",243,50,50,12,6,2,50.8,10.7,9.9,35.7,52.9,"State School","Mixed",48.5
"2027",855,137968,"Redmoor Academy","ACC","NSE",172,49,51,16,2,13,46.3,10.2,8.5,36.7,48.1,"State School","Mixed",45.7
"2028",855,138529,"Countesthorpe Leysland Community College","ACC","NSE",199,53,47,16,0,4,39.5,8.5,8.8,33.6,40.5,"State School","Mixed",41.5
"2029",855,137540,"The Kibworth School","ACC","NSE",165,58,42,15,3,10,49.5,11,9.9,39.5,51.2,"State School","Mixed",51.1
"2030",855,120274,"Iveshead School","CY","NSE",150,54,46,20,1,28,42.9,9.3,8.3,32.6,45.5,"State School","Mixed",43.4
"2031",855,138527,"Thomas Estley Community College","ACC","NSE",166,58,42,12,2,9,42.5,9.4,9.2,29.3,44.3,"State School","Mixed",44.1
"2032",855,137401,"Woodbrook Vale School","ACC","NSE",158,44,56,20,6,8,52.9,11.8,9.9,33.5,57.6,"State School","Mixed",49.7
"2033",855,138150,"Lutterworth College","ACC","NSE",88,33,67,10,0,0,49.8,10.5,9.6,31.1,52,"State School","Mixed",51.6
"2034",855,137640,"Rawlins Academy","ACC","NSE",230,50,50,24,4,16,43.9,9.5,8.5,31.1,48,"State School","Mixed",46.5
"2035",855,138521,"Brockington College","ACC","NSE",272,52,49,18,11,8,46.5,10,8.9,38.9,48.1,"State School","Mixed",48.6
"2036",855,138833,"Ashby School","ACC","NSE",563,52,48,17,3,10,47.9,9.8,9.6,37.4,50.1,"State School","Mixed",50.4
"2037",855,138298,"De Lisle College Loughborough Leicestershire","ACC","NSE",218,51,49,12,15,16,48.1,10.5,9.4,35.6,49.9,"State School","Mixed",45.4
"2038",855,138290,"Saint Martin's Catholic Voluntary Academy","ACC","NSE",97,44,56,17,2,15,54.6,12.5,10.7,47.6,55.9,"State School","Mixed",50.4
"2039",855,138628,"Long Field Academy","ACC","NSE",105,45,55,23,5,15,46.2,9.2,8.6,38,48.6,"State School","Mixed",44.1
"2040",855,137931,"South Wigston High School","ACC",NA,156,53,47,37,7,8,39.1,8.6,7.3,35.1,41.4,"State School","Mixed",39
"2041",855,137984,"Wigston Academy","ACC",NA,228,55,45,22,5,12,36.5,8.3,7.2,28.7,38.8,"State School","Mixed",35.5
"2042",855,120330,"The Grange Therapeutic School","INDSPEC",NA,17,100,0,NA,NA,NA,3.5,1.1,2.1,NA,NA,"Special School","Boys",4.3
"2043",855,134438,"Lewis Charlton Learning Centre","INDSPEC",NA,28,68,32,NA,NA,NA,20.1,4,4.2,NA,NA,"Special School","Mixed",0.4
"2044",855,135217,"Sketchley School","INDSPEC",NA,6,100,0,NA,NA,NA,7.3,1.8,4.3,NA,NA,"Special School","Boys",7
"2045",855,120348,"Maplewell Hall School","CYS",NA,28,64,36,39,0,NA,7.5,2.2,2.2,5.6,8.7,"Special School","Mixed",8.3
"2046",855,134640,"Birch Wood (Melton Area Special School)","CYS",NA,19,74,26,37,5,NA,7.8,1.9,1.5,1.7,11.3,"Special School","Mixed",5.6
"2047",856,138869,"Madani Boys School","VA","NSE",60,100,NA,40,83,3,53.2,11.2,11.2,51,54.7,"State School","Boys",49.3
"2048",856,143857,"The Lancaster Academy","AC",NA,185,100,0,28,54,6,29.5,6.3,5.9,22.5,32.2,"State School","Boys",35.3
"2049",856,144479,"Tudor Grange Samworth Academy, A church of England School","AC","NR",68,49,52,66,12,26,33.6,7.3,6.8,29.5,41.6,"State School","Mixed",33.7
"2050",856,131945,"New College Leicester","FD","NSE",169,45,55,43,39,17,42.3,9.1,7.5,39.4,44.4,"State School","Mixed",39.1
"2051",856,144629,"Orchard Mead Academy","AC","NSE",228,53,47,33,55,21,33,7.6,6.4,29.4,34.8,"State School","Mixed",31.6
"2052",856,145558,"Judgemeadow Community College","AC","NSE",250,52,48,22,41,10,49.7,10.3,9.6,38.5,52.8,"State School","Mixed",NA
"2053",856,120277,"Crown Hills Community College","CY","NSE",243,61,39,23,90,16,45.8,9.7,8.7,44.2,46.3,"State School","Mixed",44.1
"2054",856,120279,"Sir Jonathan North Community College","CY","NSE",234,NA,100,29,45,15,50.4,11.4,9.2,42,53.8,"State School","Girls",51.4
"2055",856,120281,"Beaumont Leys School","CY","NSE",206,49,51,29,21,9,45,9.8,8.5,40.9,46.7,"State School","Mixed",39.8
"2056",856,141916,"Rushey Mead Academy","ACC","NSE",319,53,47,28,61,10,54,10.7,11.2,50.8,55.2,"State School","Mixed",53.2
"2057",856,120286,"Soar Valley College","CY","NSE",253,49,51,29,81,10,48.3,10.1,9.4,41.9,50.9,"State School","Mixed",47.6
"2058",856,120292,"Moat Community College","CY","NSE",215,46,54,34,87,5,43.9,9.1,8.3,40.9,45.4,"State School","Mixed",42.5
"2059",856,143247,"Babington Academy","ACC","NSE",205,56,44,37,59,9,35.1,7.8,6.2,33.2,36.3,"State School","Mixed",35.1
"2060",856,120297,"The City of Leicester College","CY","NSE",234,55,45,24,36,6,44.3,9.1,8.2,39.1,45.9,"State School","Mixed",44.9
"2061",856,120298,"Fullhurst Community College","FD","NSE",176,48,52,47,30,14,40.1,8.7,6.8,36.2,43.6,"State School","Mixed",44.4
"2062",856,146196,"English Martyrs' Catholic School, A Voluntary Academy","ACC","NSE",179,45,55,21,42,9,47.6,9.8,8.9,37.4,50.3,"State School","Mixed",NA
"2063",856,146232,"St Paul's Catholic School, a Voluntary Academy","ACC","NSE",182,53,47,21,29,8,44.5,9.3,8.3,31.6,48,"State School","Mixed",NA
"2064",856,129645,"Madani Girls' School","VA","NSE",60,NA,100,38,82,5,56.5,12.1,10.9,53.3,58.4,"State School","Girls",59.6
"2065",856,138094,"Ash Field Academy","ACCS",NA,8,50,50,63,13,NA,0.3,0,0,NA,NA,"Special School","Mixed",NA
"2066",856,120362,"Millgate School","CYS",NA,20,100,NA,75,0,NA,13.3,4.1,3.3,NA,NA,"Special School","Boys",17.3
"2067",856,131187,"Keyham Lodge School","CYS",NA,31,87,13,90,7,NA,6.3,1.5,2.1,NA,NA,"Special School","Mixed",6.4
