"convo_id","message_from","created_at"
34,"user",2020-07-21 11:32:53
34,"admin",2020-07-21 11:33:27
34,"admin",2020-07-21 11:37:00
35,"user",2020-07-21 12:10:25
35,"user",2020-07-21 12:10:49
35,"user",2020-07-21 12:11:01
35,"user",2020-07-21 13:04:18
35,"user",2020-07-21 13:04:39
35,"user",2020-07-21 13:05:17
35,"user",2020-07-21 13:07:02
35,"user",2020-07-21 13:10:48
35,"admin",2020-07-22 08:03:06
35,"admin",2020-07-22 08:03:25
35,"admin",2020-07-22 09:00:29
35,"user",2020-07-22 14:27:59
35,"admin",2020-07-22 14:54:50
35,"admin",2020-07-22 14:54:56
35,"admin",2020-07-23 18:38:08
35,"admin",2020-07-23 18:39:24
35,"admin",2020-07-23 18:42:49
35,"user",2020-07-24 00:00:15
35,"admin",2020-07-24 00:00:15
35,"admin",2020-07-24 00:14:18
35,"admin",2020-07-24 15:11:06
35,"admin",2020-07-24 15:11:08
35,"admin",2020-07-25 15:54:26
36,"user",2020-07-21 12:35:53
36,"admin",2020-07-21 12:42:16
36,"admin",2020-07-21 12:42:46
36,"admin",2020-07-21 12:42:50
37,"user",2020-07-21 12:54:11
37,"user",2020-07-21 12:54:41
37,"user",2020-07-21 12:54:41
37,"admin",2020-07-21 12:57:29
37,"admin",2020-07-21 12:59:47
37,"admin",2020-07-21 13:01:03
37,"user",2020-07-21 13:07:16
37,"admin",2020-07-21 13:08:51
37,"user",2020-07-21 13:10:29
37,"admin",2020-07-21 13:13:52
37,"admin",2020-07-21 13:16:08
37,"user",2020-07-21 13:17:00
37,"admin",2020-07-21 13:17:19
37,"admin",2020-07-21 13:17:33
37,"user",2020-07-21 13:18:02
37,"admin",2020-07-21 13:18:53
37,"admin",2020-07-21 13:18:59
37,"user",2020-07-21 13:19:23
37,"admin",2020-07-21 13:20:17
37,"admin",2020-07-21 13:47:19
37,"admin",2020-07-21 13:51:37
37,"admin",2020-07-21 14:55:19
38,"user",2020-07-21 13:01:09
38,"admin",2020-07-21 13:02:22
38,"user",2020-07-21 13:06:30
38,"admin",2020-07-21 13:09:21
38,"user",2020-07-21 13:13:43
38,"admin",2020-07-21 13:21:32
38,"user",2020-07-21 13:25:19
38,"admin",2020-07-21 13:25:52
38,"user",2020-07-21 13:26:38
38,"user",2020-07-21 13:48:55
38,"admin",2020-07-21 13:50:21
38,"admin",2020-07-21 13:50:31
38,"user",2020-07-21 13:50:53
38,"admin",2020-07-21 13:51:14
38,"admin",2020-07-21 14:07:25
38,"user",2020-07-21 14:09:45
38,"user",2020-07-21 14:10:07
38,"admin",2020-07-21 14:10:57
38,"admin",2020-07-21 14:11:06
38,"user",2020-07-21 14:18:23
38,"admin",2020-07-21 14:20:55
38,"admin",2020-07-21 14:21:06
38,"user",2020-07-21 14:22:59
38,"admin",2020-07-21 14:24:17
38,"user",2020-07-21 14:24:34
38,"admin",2020-07-21 14:24:40
38,"user",2020-07-21 14:25:04
38,"user",2020-07-21 14:25:30
38,"admin",2020-07-21 14:25:40
38,"user",2020-07-21 14:27:06
38,"admin",2020-07-21 14:27:59
38,"admin",2020-07-21 14:28:21
38,"user",2020-07-21 14:28:52
38,"user",2020-07-21 14:30:39
38,"admin",2020-07-21 14:41:12
38,"admin",2020-07-21 14:42:20
38,"admin",2020-07-21 14:42:56
38,"user",2020-07-21 14:51:33
38,"user",2020-07-21 14:52:48
38,"admin",2020-07-21 14:57:47
38,"admin",2020-07-21 14:58:09
38,"user",2020-07-21 15:01:09
38,"admin",2020-07-21 15:01:09
38,"admin",2020-07-21 17:57:09
38,"admin",2020-07-21 18:08:56
38,"user",2020-07-21 18:17:14
38,"admin",2020-07-21 18:28:53
38,"user",2020-07-21 18:36:40
38,"admin",2020-07-21 18:42:00
38,"user",2020-07-21 18:46:11
38,"admin",2020-07-21 18:47:37
38,"admin",2020-07-21 18:47:39
39,"user",2020-07-21 13:21:48
39,"admin",2020-07-21 13:22:05
39,"admin",2020-07-21 13:22:35
39,"admin",2020-07-21 13:23:15
39,"user",2020-07-21 13:23:32
39,"admin",2020-07-21 13:24:30
39,"admin",2020-07-21 13:24:42
39,"user",2020-07-21 13:25:00
39,"admin",2020-07-21 13:25:14
39,"admin",2020-07-21 13:25:38
39,"admin",2020-07-21 13:47:16
40,"user",2020-07-21 13:27:56
40,"admin",2020-07-21 13:29:16
40,"admin",2020-07-21 13:30:46
